Name,degree centrality,closeness centrality,betweenness centrality
YLR347C,0.011881188118811881,0.07941239451752258,0.0008024897007266157
YNL007C,0.0031683168316831685,0.10070244662842667,5.914193389778238e-05
YNL064C,0.0201980198019802,0.1382171452119587,0.0013284467114532982
YNL077W,0.0009900990099009901,0.025276835925187282,0.0
YOR098C,0.008910891089108912,0.14315665233578073,0.0003137048949733963
YOR151C,0.009504950495049506,0.11954224519399187,0.0002713867875422368
YOR160W,0.0017821782178217822,0.1299644092680176,0.0
YPL240C,0.012475247524752476,0.16535501081041112,9.366517543117747e-05
YPR010C,0.004356435643564357,0.131749072710426,1.3894553862401498e-05
YAL007C,0.0049504950495049506,0.0,0.0
YAR002C-A,0.0011881188118811883,0.00019801980198019803,3.2123145485335985e-06
YBR036C,0.007920792079207921,0.00039603960396039607,2.3722690044669277e-05
YBR183W,0.0067326732673267334,0.001140971239981141,5.462194393483173e-06
YCL025C,0.007128712871287129,0.0014257425742574257,0.00011090086705264114
YDL054C,0.0031683168316831685,0.0020424328147100423,2.5103857990235886e-05
YDR087C,0.0023762376237623766,0.00019801980198019803,9.668328277444478e-06
YDR101C,0.0035643564356435645,0.0007920792079207921,9.728262719700711e-05
YDR127W,0.0049504950495049506,0.005660408364487901,5.696944025155995e-05
YEL002C,0.007524752475247525,0.0036420484153678527,6.631279530067034e-05
YEL063C,0.009504950495049506,0.004914953033764915,0.0001732554161193831
YER110C,0.011287128712871288,0.023411684679918377,0.0008427442157427231
YGL200C,0.008910891089108912,0.011704187178494386,0.00029327756438121775
YGR060W,0.0100990099009901,0.013152218516219316,0.0002459658403547986
YHR026W,0.006534653465346535,0.021597301323052657,0.00032735163704047064
YHR110W,0.0033663366336633667,0.012014764634358173,2.653354413179701e-05
YHR140W,0.011881188118811881,0.03846547186364206,0.000658380498553422
YJL117W,0.00910891089108911,0.04653022018619773,0.00097404148598924
YLR342W,0.004554455445544555,0.06881974621936382,0.0001540300961696414
YML012W,0.0019801980198019802,0.043250616633417324,1.3602701395188804e-05
YMR290C,0.005742574257425743,0.1081794000295552,0.0001965604392205716
YNL130C,0.0025742574257425744,0.06589835281496546,0.00012302108806307692
YPL076W,0.012277227722772278,0.10277279719219186,2.574794387630572e-05
YPL211W,0.0021782178217821784,0.1255438231553972,0.0
YPL264C,0.007128712871287129,0.10056361417590298,8.500491070110579e-06
YPR201W,0.0021782178217821784,0.08898928409814241,0.0
YAL009W,0.0011881188118811883,0.0,0.0
YDL040C,0.0007920792079207921,0.00019801980198019803,1.4613057578253753e-06
YDR211W,0.0033663366336633667,0.0035300998454275805,0.00011037707352732761
YHR004C,0.00039603960396039607,0.00039603960396039607,0.0
YJL176C,0.0025742574257425744,0.009610656286548402,1.9512703541396736e-05
YAL010C,0.0007920792079207921,0.0,0.0
YFL048C,0.0019801980198019802,0.0020309723280020307,1.2781413198659033e-05
YJL066C,0.00910891089108911,0.04671028772245134,0.00023207745526516513
YMR203W,0.0013861386138613863,0.014755056733110136,1.895784179894944e-07
YPL235W,0.01504950495049505,0.1744357516406583,0.00010627723132423327
YAL011W,0.0023762376237623766,0.0,0.0
YBL007C,0.027524752475247525,0.00019801980198019803,8.620271293992907e-05
YDL181W,0.0015841584158415843,0.0011001100110011003,1.897270244901674e-05
YDR225W,0.007326732673267327,0.007761925552441447,0.0002010144082462506
YDR334W,0.0031683168316831685,0.00976615171244751,0.000134996274998323
YER081W,0.019009900990099013,0.023746216000910435,0.0028543986045333
YGR002C,0.004356435643564357,0.024201834117838016,0.00011147720634862715
YHR158C,0.0039603960396039604,0.01740674315570515,6.776569794162564e-05
YIR018W,0.0009900990099009901,0.00468677494199536,0.0
YNL107W,0.0039603960396039604,0.059308615546239306,4.337275764171169e-05
YOL012C,0.0039603960396039604,0.10209475147484585,7.796535416865632e-06
YOR127W,0.0023762376237623766,0.08229834202355146,1.0337650074217419e-05
YOR269W,0.0025742574257425744,0.08344042592252617,0.0
YAL012W,0.0009900990099009901,0.0,0.0
YBR055C,0.02099009900990099,0.0020738073807380734,0.00040003011979329746
YJR091C,0.055445544554455446,0.08868686206368982,0.010463198307360899
YMR101C,0.00019801980198019803,0.00019801980198019803,0.0
YMR300C,0.0005940594059405942,0.05680853729678315,0.0
YPL149W,0.005148514851485149,0.11232096547027828,0.0
